Project Name,Country,Country Full Name,Region,Date Online,Status,Technology Category,Production Technology,Carbon Capture,Type of Electricity Used for Production,Hydrogen Product,End Use,IEA zero-carbon estimated normalized capacity,Electricty Used Color(Feedstock),Latitude,Longitude
H2GO - 1st phase,NLD,Netherlands,Europe,2022,Under construction,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Transportation,444.44,Green - Renewables,52.132633,5.291266
H2GO - 2nd phase,NLD,Netherlands,Europe,2030,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Transportation,5222.22,Green - Renewables,52.132633,5.291266
"NortH2, phase 1",NLD,Netherlands,Europe,2027,Feasibility study,Electrolysis,Unknown PtX,No,Offshore wind,H2,Other Industries,222222.22,Green - Renewables,52.132633,5.291266
Norsk e-Fuel Phase 1,NOR,Norway,Europe,2024,FID,Electrolysis,Solid Oxide Electrolysis Cells,No,Combination Renewable,Synfuels,Synfuels,6613.63,Yellow - Mixed Origin Grid Energy,60.472024,8.468946
Norsk e-Fuel Phase 2,NOR,Norway,Europe,2026,Feasibility study,Electrolysis,Solid Oxide Electrolysis Cells,No,Combination Renewable,Synfuels,Synfuels,6613.63,Yellow - Mixed Origin Grid Energy,60.472024,8.468946
HYBRIT pilot,SWE,Sweden,Europe,2020,Operational,Electrolysis,Alkaline Electrolysis,No,Grid,H2,Iron & Steel,978.26,Green - Renewables,60.128161,18.643501
HYBRIT demo,SWE,Sweden,Europe,2025,Under construction,Electrolysis,Alkaline Electrolysis,No,Grid,H2,Iron & Steel,,Green - Renewables,60.128161,18.643501
Fertiberia/Iberdrola - Puertollano I,ESP,Spain,Europe,2022,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Solar PV,Ammonia,Ammonia,4444.44,Pink - Nuclear,40.463667,-3.74922
Power to Green H2 Mallorca - Phase 1,ESP,Spain,Europe,2021,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Solar PV,H2,Transportation,423.27,Pink - Nuclear,40.463667,-3.74922
Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,ESP,Spain,Europe,2022,Under construction,Electrolysis,Unknown PtX,No,Solar PV,H2,Transportation,1666.67,Green - Renewables,40.463667,-3.74922
CRI project in Norway,NOR,Norway,Europe,2025,Feasibility study,Electrolysis,Unknown PtX,No,Other,MeOH,Methanol,24540.37,Green - Renewables,60.472024,8.468946
ARIES project,USA,United States,North America,2022,DEMO,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Synfuels,240.38,Pink - Nuclear,37.09024,-95.712891
Fukushima Hydrogen Energy Research Field,JPN,Japan,Asia and Pacific,2020,Operational,Electrolysis,Alkaline Electrolysis,No,Solar PV,H2,Transportation,1923.08,Green - Renewables,36.204824,138.252924
Hydrospider - St Gallen,CHE,Switzerland,Europe,2020,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Hydropower,H2,Transportation,384.62,Pink - Nuclear,46.818188,8.227512
"Apex Energy, Rostock-Laage",DEU,Germany,Europe,2020,Operational,Electrolysis,Alkaline Electrolysis,No,Grid,H2,Transportation,434.78,Green - Renewables,51.165691,10.451526
Leuchtturmprojekt Power-to-Gas Baden-Württemberg,DEU,Germany,Europe,2020,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Hydropower,H2,Transportation,250,Pink - Nuclear,51.165691,10.451526
eFarm (5 production sites in North Frisia),DEU,Germany,Europe,2020,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Transportation,216.35,Pink - Nuclear,51.165691,10.451526
Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,United Kingdom,Europe,2020,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Transportation,192.31,Pink - Nuclear,55.378051,-3.435973
Wyhlen hydroelectric power plant,DEU,Germany,Europe,2020,Operational,Electrolysis,Alkaline Electrolysis,No,Hydropower,H2,Power,217.39,Green - Renewables,51.165691,10.451526
GrInHy2.0,DEU,Germany,Europe,2020,Operational,Electrolysis,Solid Oxide Electrolysis Cells,No,Grid,H2,Iron & Steel,200,Yellow - Mixed Origin Grid Energy,51.165691,10.451526
Power2Met,DNK,Denmark,Europe,2020,Operational,Electrolysis,Unknown PtX,No,Grid,MeOH,Methanol,50,Green - Renewables,56.26392,9.501785
REMOTE - Norway,NOR,Norway,Europe,2020,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Combination Renewable,H2,Power,9.62,Pink - Nuclear,60.472024,8.468946
